Category,Precision,Recall,F1-Score,Support
CANCEL,0.9929577464788732,0.9929577464788732,0.9929577464788732,142
SHIPPING,0.9932203389830508,0.9932203389830508,0.9932203389830508,295
CONTACT,1.0,0.9866220735785953,0.9932659932659933,299
INVOICE,0.9867986798679867,1.0,0.9933554817275747,299
PAYMENT,0.9966442953020134,0.9933110367892977,0.9949748743718593,299
SUBSCRIPTION,1.0,0.9932885906040269,0.9966329966329966,149
ORDER,1.0,0.9932998324958124,0.9966386554621849,597
DELIVERY,0.9933333333333333,1.0,0.9966555183946488,298
ACCOUNT,0.9955506117908788,0.9988839285714286,0.9972144846796658,896
REFUND,0.9977678571428571,0.9977678571428571,0.9977678571428571,448
FEEDBACK,0.9966666666666667,1.0,0.998330550918197,299
